Asset_ID,Asset_Name,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End,Expected_EOL,Lifecycle_Status,Current_Status,Location_ID,Business_Unit,Criticality,Environment,Replacement_Cost_CAD
AST-0000001,LAP-0000001,Laptop,Lenovo,ThinkPad T14 Gen 2,P5TB94874F,2024-02-04,2024-03-04,2027-03-04,2026-02-28,Past EOL,Planned Refresh,LOC-0109,Retail Banking,Medium,Production,1500
AST-0000002,LAP-0000002,Laptop,Apple,MacBook Pro 14-inch M2 Pro,72KZ02XRGH,2024-03-13,2024-04-08,2027-04-08,2028-01-31,EOL within 24 months,In Service,LOC-0043,Capital Markets,Critical,Development,2850
AST-0000003,LAP-0000003,Laptop,Apple,MacBook Air M2,F8CGVYIE6I,2022-11-02,2022-11-23,2025-11-22,2027-07-31,EOL within 24 months,Retired,LOC-0013,Human Resources,Medium,Test,1650
AST-0000004,LAP-0000004,Laptop,Dell,Latitude 5420,HZIOYKL1CQ,2024-08-20,2024-08-26,2028-08-25,2026-03-31,Past EOL,Retired,LOC-0150,Finance,Medium,Development,1450
AST-0000005,LAP-0000005,Laptop,Dell,Latitude 5430,5NF4ZW9XA3,2022-08-29,2022-10-03,2025-10-02,2027-04-30,EOL within 12 months,In Service,LOC-0130,Commercial Banking,Critical,Production,1550
AST-0000006,LAP-0000006,Laptop,Dell,Latitude 5430,VZHWJR64DP,2023-01-01,2023-01-18,2026-01-17,2027-04-30,EOL within 12 months,In Service,LOC-0028,Technology,Low,Development,1550
AST-0000007,LAP-0000007,Laptop,Dell,Latitude 5420,PAC56T4UFE,2021-03-08,2021-03-30,2024-03-29,2026-03-31,Past EOL,In Service,LOC-0068,Retail Banking,Medium,Test,1450
AST-0000008,LAP-0000008,Laptop,HP,EliteBook 840 G8,5OWF75935A,2021-03-23,2021-04-15,2024-04-14,2026-01-31,Past EOL,Quarantined,LOC-0064,Technology,Medium,Test,1500
AST-0000009,LAP-0000009,Laptop,HP,EliteBook 840 G8,NBQH7M35IX,2023-04-24,2023-06-06,2028-06-04,2026-01-31,Past EOL,Planned Refresh,LOC-0064,Commercial Banking,High,Production,1500
AST-0000010,LAP-0000010,Laptop,HP,EliteBook 840 G8,LA5JU9BVM2,2022-07-25,2022-07-30,2026-07-29,2026-01-31,Past EOL,Planned Refresh,LOC-0090,Technology,Medium,Test,1500
AST-0000011,LAP-0000011,Laptop,Apple,MacBook Air M2,S3Y70HP87W,2023-02-22,2023-03-19,2028-03-17,2027-07-31,EOL within 24 months,Quarantined,LOC-0049,Commercial Banking,High,Production,1650
AST-0000012,LAP-0000012,Laptop,Dell,Latitude 5430,KEP7Y6WKTA,2026-04-14,2026-05-04,2031-05-03,2027-04-30,EOL within 12 months,In Service,LOC-0080,Technology,Medium,Test,1550
AST-0000013,LAP-0000013,Laptop,Lenovo,ThinkPad T14 Gen 2,S280XKXWD8,2023-07-01,2023-08-08,2028-08-06,2026-02-28,Past EOL,In Service,LOC-0083,Wealth Management,Medium,Production,1500
AST-0000014,LAP-0000014,Laptop,Lenovo,ThinkPad T14 Gen 3,4COWGZRIXA,2023-08-04,2023-08-17,2026-08-16,2027-05-31,EOL within 12 months,In Service,LOC-0007,Retail Banking,Critical,Test,1600
AST-0000015,LAP-0000015,Laptop,HP,EliteBook 850 G9,Q2Y9V86WZS,2023-06-23,2023-07-05,2028-07-03,2027-04-30,EOL within 12 months,Retired,LOC-0133,Wealth Management,High,Production,1650
AST-0000016,LAP-0000016,Laptop,Apple,MacBook Pro 14-inch M2 Pro,1SWJCKJLTE,2023-11-22,2023-12-23,2027-12-22,2028-01-31,EOL within 24 months,In Service,LOC-0067,Technology,High,Development,2850
AST-0000017,LAP-0000017,Laptop,HP,EliteBook 850 G9,QC3O18A5UR,2026-02-20,2026-03-02,2031-03-01,2027-04-30,EOL within 12 months,In Service,LOC-0055,Retail Banking,Medium,Test,1650
AST-0000018,LAP-0000018,Laptop,Lenovo,ThinkPad T14 Gen 3,HPBMYOFQEW,2024-07-07,2024-08-03,2029-08-02,2027-05-31,EOL within 12 months,In Service,LOC-0140,Cybersecurity,Critical,Development,1600
AST-0000019,LAP-0000019,Laptop,HP,EliteBook 850 G9,GJLQM5K8P4,2025-07-26,2025-09-01,2030-08-31,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0007,Retail Banking,Medium,Development,1650
AST-0000020,LAP-0000020,Laptop,Dell,Latitude 5420,BBI4WIRE8Q,2024-03-09,2024-03-13,2028-03-12,2026-03-31,Past EOL,In Service,LOC-0058,Technology,High,Test,1450
AST-0000021,LAP-0000021,Laptop,HP,EliteBook 840 G8,DALY8OZCYW,2021-12-10,2022-01-18,2027-01-17,2026-01-31,Past EOL,In Service,LOC-0030,Cybersecurity,Low,Development,1500
AST-0000022,LAP-0000022,Laptop,Lenovo,ThinkPad T14 Gen 3,XCXAPRPN6Q,2026-03-02,2026-04-10,2029-04-09,2027-05-31,EOL within 12 months,In Service,LOC-0145,Cybersecurity,Medium,Development,1600
AST-0000023,LAP-0000023,Laptop,HP,EliteBook 850 G9,Q3VLI7KQ1U,2023-03-27,2023-04-30,2028-04-28,2027-04-30,EOL within 12 months,Quarantined,LOC-0070,Technology,Critical,Development,1650
AST-0000024,LAP-0000024,Laptop,HP,EliteBook 850 G9,M5ZJA8DZR1,2024-02-18,2024-02-20,2028-02-19,2027-04-30,EOL within 12 months,Quarantined,LOC-0084,Retail Banking,Medium,Development,1650
AST-0000025,LAP-0000025,Laptop,Apple,MacBook Pro 14-inch M2 Pro,LURTP0LZJJ,2025-10-02,2025-10-31,2028-10-30,2028-01-31,EOL within 24 months,In Service,LOC-0024,Commercial Banking,Medium,Production,2850
AST-0000026,LAP-0000026,Laptop,Lenovo,ThinkPad T14 Gen 2,HR09SKDGIG,2022-11-09,2022-11-17,2027-11-16,2026-02-28,Past EOL,In Service,LOC-0138,Legal & Compliance,High,Production,1500
AST-0000027,LAP-0000027,Laptop,Apple,MacBook Air M2,W1DAKRM8J5,2023-03-17,2023-04-04,2026-04-03,2027-07-31,EOL within 24 months,In Service,LOC-0014,Finance,High,Production,1650
AST-0000028,LAP-0000028,Laptop,Dell,Latitude 5430,38DIUOVW1N,2024-06-29,2024-07-31,2027-07-31,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0148,Technology,Low,Production,1550
AST-0000029,LAP-0000029,Laptop,Lenovo,ThinkPad T14 Gen 3,D1WJCITFOY,2025-08-18,2025-09-15,2029-09-14,2027-05-31,EOL within 12 months,Planned Refresh,LOC-0146,Technology,High,Test,1600
AST-0000030,LAP-0000030,Laptop,Lenovo,ThinkPad T14 Gen 3,IJ2V2HEIFJ,2022-07-06,2022-07-21,2026-07-20,2027-05-31,EOL within 12 months,In Service,LOC-0073,Technology,Medium,Test,1600
AST-0000031,LAP-0000031,Laptop,Dell,Latitude 5430,PQKOJTPV60,2022-08-01,2022-08-12,2026-08-11,2027-04-30,EOL within 12 months,Retired,LOC-0153,Technology,High,Development,1550
AST-0000032,LAP-0000032,Laptop,Lenovo,ThinkPad T14 Gen 3,3U1GSPK9P3,2022-06-22,2022-06-28,2025-06-27,2027-05-31,EOL within 12 months,In Service,LOC-0148,Human Resources,Low,Test,1600
AST-0000033,LAP-0000033,Laptop,Apple,MacBook Pro 14-inch M2 Pro,ORXO1BDJE1,2024-12-13,2025-01-09,2029-01-08,2028-01-31,EOL within 24 months,Retired,LOC-0083,Technology,Critical,Development,2850
AST-0000034,LAP-0000034,Laptop,Dell,Latitude 5420,1W1HT7PZE9,2024-11-06,2024-12-11,2028-12-10,2026-03-31,Past EOL,Retired,LOC-0106,Retail Banking,Medium,Test,1450
AST-0000035,LAP-0000035,Laptop,Lenovo,ThinkPad T14 Gen 2,96QE3RZSJ4,2025-01-24,2025-02-04,2029-02-03,2026-02-28,Past EOL,Planned Refresh,LOC-0142,Retail Banking,Medium,Production,1500
AST-0000036,LAP-0000036,Laptop,Lenovo,ThinkPad T14 Gen 2,55J2O7S3KK,2023-08-25,2023-09-30,2026-09-29,2026-02-28,Past EOL,Retired,LOC-0099,Retail Banking,High,Test,1500
AST-0000037,LAP-0000037,Laptop,Apple,MacBook Pro 14-inch M2 Pro,N759IN4OLR,2023-11-01,2023-11-30,2028-11-28,2028-01-31,EOL within 24 months,Planned Refresh,LOC-0124,Capital Markets,High,Test,2850
AST-0000038,LAP-0000038,Laptop,HP,EliteBook 850 G9,LD4D6AF58C,2025-12-20,2026-01-31,2029-01-30,2027-04-30,EOL within 12 months,In Service,LOC-0127,Legal & Compliance,Low,Test,1650
AST-0000039,LAP-0000039,Laptop,HP,EliteBook 840 G8,NLZ15BCW79,2024-06-30,2024-08-14,2028-08-13,2026-01-31,Past EOL,Quarantined,LOC-0021,Data & Analytics,Critical,Test,1500
AST-0000040,LAP-0000040,Laptop,Dell,Latitude 5430,B2KNFTU2GC,2024-09-05,2024-09-12,2029-09-11,2027-04-30,EOL within 12 months,Planned Refresh,LOC-0026,Wealth Management,High,Production,1550
AST-0000041,LAP-0000041,Laptop,Lenovo,ThinkPad T14 Gen 2,Y6QKTC89K8,2023-11-17,2023-12-25,2026-12-24,2026-02-28,Past EOL,Quarantined,LOC-0060,Wealth Management,Medium,Development,1500
AST-0000042,LAP-0000042,Laptop,Lenovo,ThinkPad T14 Gen 3,UU9K9XJUY0,2024-11-21,2024-12-11,2027-12-11,2027-05-31,EOL within 12 months,In Service,LOC-0099,Data & Analytics,Low,Development,1600
AST-0000043,LAP-0000043,Laptop,Apple,MacBook Pro 14-inch M2 Pro,YZX4W6XLPU,2024-08-09,2024-08-24,2029-08-23,2028-01-31,EOL within 24 months,Quarantined,LOC-0091,Commercial Banking,Low,Development,2850
AST-0000044,LAP-0000044,Laptop,Dell,Latitude 7440,5NSJF678K5,2023-10-02,2023-10-21,2027-10-20,2028-04-30,EOL within 24 months,In Service,LOC-0107,Retail Banking,Low,Test,1850
AST-0000045,LAP-0000045,Laptop,Apple,MacBook Pro 14-inch M2 Pro,DOJEN0JNWN,2023-06-04,2023-06-14,2026-06-13,2028-01-31,EOL within 24 months,Quarantined,LOC-0102,Legal & Compliance,High,Development,2850
AST-0000046,LAP-0000046,Laptop,Lenovo,ThinkPad T14 Gen 2,C36KOF8KRD,2023-09-24,2023-09-26,2028-09-24,2026-02-28,Past EOL,Retired,LOC-0144,Capital Markets,High,Test,1500
AST-0000047,LAP-0000047,Laptop,Dell,Latitude 7440,5X4W7KYHQI,2025-06-04,2025-07-04,2029-07-03,2028-04-30,EOL within 24 months,In Service,LOC-0139,Wealth Management,High,Production,1850
